,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,cloudcover,icon
0,2022-01-01,17.2,6.3,10.6,38.861,100.0,4.17,['rain'],32.8,rain
1,2022-01-02,18.2,3.5,9.6,0.0,0.0,0.0,,33.7,partly-cloudy-day
2,2022-01-03,17.1,4.8,10.1,0.0,0.0,0.0,,37.5,partly-cloudy-day
3,2022-01-04,19.6,7.7,12.8,0.0,0.0,0.0,,12.9,clear-day
4,2022-01-05,15.7,9.6,12.3,0.0,0.0,0.0,,26.7,partly-cloudy-day
5,2022-01-06,14.6,4.9,9.0,0.79,100.0,12.5,['rain'],21.6,rain
6,2022-01-07,15.0,3.2,8.2,0.0,0.0,0.0,,9.7,clear-day
7,2022-01-08,17.0,4.1,10.0,0.0,0.0,0.0,,12.3,clear-day
8,2022-01-09,20.4,8.0,14.3,0.0,0.0,0.0,,66.0,partly-cloudy-day
9,2022-01-10,21.5,14.5,17.2,0.0,0.0,0.0,,27.0,partly-cloudy-day
10,2022-01-11,14.2,7.6,11.2,3.152,100.0,33.33,['rain'],65.0,rain
11,2022-01-12,15.1,6.0,9.7,0.0,0.0,0.0,['rain'],39.7,partly-cloudy-day
12,2022-01-13,13.9,6.1,9.3,1.665,100.0,25.0,['rain'],36.7,rain
13,2022-01-14,12.9,3.3,7.4,0.0,0.0,0.0,,31.9,partly-cloudy-day
14,2022-01-15,14.5,3.0,8.0,0.0,0.0,0.0,,20.8,partly-cloudy-day
15,2022-01-16,14.5,1.6,7.1,0.0,0.0,0.0,,0.0,clear-day
16,2022-01-17,14.0,0.8,7.0,0.0,0.0,0.0,,9.0,clear-day
17,2022-01-18,14.6,1.0,6.9,0.0,0.0,0.0,,1.0,clear-day
18,2022-01-19,14.1,2.7,7.0,0.0,0.0,0.0,,45.5,partly-cloudy-day
19,2022-01-20,13.5,1.3,7.4,0.0,0.0,0.0,['rain'],53.1,partly-cloudy-day
20,2022-01-21,13.7,2.4,7.8,0.0,0.0,0.0,,33.2,partly-cloudy-day
21,2022-01-22,10.8,5.7,8.3,3.56,100.0,45.83,['rain'],73.3,rain
22,2022-01-23,10.8,7.4,8.7,1.409,100.0,50.0,['rain'],67.8,rain
23,2022-01-24,13.7,5.6,9.3,0.427,100.0,25.0,['rain'],53.9,rain
24,2022-01-25,13.9,8.2,10.5,3.152,100.0,41.67,['rain'],72.7,rain
25,2022-01-26,14.2,7.1,9.6,0.0,0.0,0.0,,36.0,partly-cloudy-day
26,2022-01-27,13.6,4.7,9.1,0.066,100.0,4.17,['rain'],42.0,rain
27,2022-01-28,15.4,3.7,8.8,0.0,0.0,0.0,,16.3,clear-day
28,2022-01-29,17.3,1.4,8.4,0.0,0.0,0.0,,0.0,clear-day
29,2022-01-30,19.4,1.8,9.0,0.0,0.0,0.0,,0.0,clear-day
30,2022-01-31,24.0,5.4,12.9,0.0,0.0,0.0,,5.9,clear-day
31,2022-02-01,16.6,6.8,11.2,0.0,0.0,0.0,,1.3,clear-day
32,2022-02-02,23.7,5.3,12.7,0.0,0.0,0.0,,1.0,clear-day
33,2022-02-03,22.1,5.9,12.8,0.0,0.0,0.0,,45.8,partly-cloudy-day
34,2022-02-04,19.1,10.3,14.0,0.0,0.0,0.0,,50.3,partly-cloudy-day
35,2022-02-05,16.0,10.0,12.8,0.114,100.0,12.5,['rain'],69.1,rain
36,2022-02-06,15.2,8.4,12.2,0.202,100.0,12.5,['rain'],76.9,rain
37,2022-02-07,17.2,4.8,10.7,0.0,0.0,0.0,,2.7,clear-day
38,2022-02-08,16.6,5.4,10.1,0.0,0.0,0.0,,20.8,partly-cloudy-day
39,2022-02-09,14.7,6.2,10.2,0.0,0.0,0.0,,82.5,partly-cloudy-day
40,2022-02-10,15.1,7.8,10.9,0.777,100.0,4.17,['rain'],70.6,rain
41,2022-02-11,15.3,4.9,9.8,0.0,0.0,0.0,,46.2,partly-cloudy-day
42,2022-02-12,16.5,4.7,10.2,0.0,0.0,0.0,,48.1,partly-cloudy-day
43,2022-02-13,16.6,4.6,10.5,0.0,0.0,0.0,,26.2,partly-cloudy-day
44,2022-02-14,19.0,7.7,12.6,0.019,100.0,4.17,['rain'],35.2,rain
45,2022-02-15,18.9,7.6,12.9,0.0,0.0,0.0,,17.3,clear-day
46,2022-02-16,21.0,7.6,13.8,0.0,0.0,0.0,,51.1,partly-cloudy-day
47,2022-02-17,20.9,10.6,15.1,0.0,0.0,0.0,,3.5,clear-day
48,2022-02-18,21.7,6.4,13.3,0.0,0.0,0.0,,21.4,partly-cloudy-day
49,2022-02-19,16.9,9.2,12.7,2.061,100.0,20.83,['rain'],82.8,rain
50,2022-02-20,15.6,8.6,12.2,0.0,0.0,0.0,,64.3,partly-cloudy-day
51,2022-02-21,20.9,6.0,12.7,0.0,0.0,0.0,,28.0,partly-cloudy-day
52,2022-02-22,18.5,5.8,12.3,0.0,0.0,0.0,,0.9,clear-day
53,2022-02-23,17.3,4.5,11.1,0.0,0.0,0.0,,50.6,partly-cloudy-day
54,2022-02-24,18.4,5.5,12.3,0.0,0.0,0.0,,52.0,partly-cloudy-day
55,2022-02-25,15.0,11.3,13.0,0.057,100.0,12.5,['rain'],75.1,rain
56,2022-02-26,14.4,10.0,11.9,0.656,100.0,29.17,['rain'],75.9,rain
57,2022-02-27,14.0,8.5,11.1,0.431,100.0,12.5,['rain'],69.1,rain
58,2022-02-28,16.6,7.4,11.5,0.198,100.0,8.33,['rain'],34.2,rain
59,2022-03-01,18.2,5.6,11.7,0.0,0.0,0.0,,18.4,clear-day
60,2022-03-02,19.0,6.4,12.8,0.0,0.0,0.0,,45.1,partly-cloudy-day
61,2022-03-03,19.1,9.4,13.9,0.323,100.0,4.17,['rain'],55.4,rain
62,2022-03-04,14.0,9.1,12.0,61.94,100.0,66.67,['rain'],78.4,rain
63,2022-03-05,14.9,7.0,10.8,0.574,100.0,12.5,['rain'],66.5,rain
64,2022-03-06,12.7,9.2,10.3,4.022,100.0,79.17,['rain'],86.8,rain
65,2022-03-07,13.1,8.9,10.4,8.481,100.0,83.33,['rain'],85.0,rain
66,2022-03-08,15.9,6.6,10.6,0.981,100.0,12.5,['rain'],58.9,rain
67,2022-03-09,16.2,5.2,11.1,0.0,0.0,0.0,,28.3,partly-cloudy-day
68,2022-03-10,16.6,6.7,11.6,0.0,0.0,0.0,,53.6,partly-cloudy-day
69,2022-03-11,16.7,7.6,12.1,1.106,100.0,25.0,['rain'],48.8,rain
70,2022-03-12,20.5,9.3,14.0,4.582,100.0,16.67,['rain'],44.1,rain
71,2022-03-13,20.3,10.3,14.2,0.0,0.0,0.0,,75.9,partly-cloudy-day
72,2022-03-14,20.3,11.3,14.9,2.217,100.0,33.33,['rain'],82.0,rain
73,2022-03-15,20.8,17.4,18.5,0.019,100.0,4.17,['rain'],89.3,rain
74,2022-03-16,18.2,12.3,15.2,8.064,100.0,79.17,['rain'],80.4,rain
75,2022-03-17,15.7,11.9,12.8,23.506,100.0,91.67,['rain'],91.2,rain
76,2022-03-18,16.2,10.7,12.7,3.363,100.0,70.83,['rain'],69.6,rain
77,2022-03-19,15.5,10.4,12.5,1.522,100.0,62.5,['rain'],66.1,rain
78,2022-03-20,16.1,10.7,12.8,4.305,100.0,79.17,['rain'],79.9,rain
79,2022-03-21,15.5,12.4,13.4,8.69,100.0,79.17,['rain'],94.1,rain
80,2022-03-22,13.5,10.8,12.2,12.326,100.0,83.33,['rain'],97.4,rain
81,2022-03-23,13.0,10.8,11.6,29.228,100.0,87.5,['rain'],92.6,rain
82,2022-03-24,15.9,12.1,13.5,10.237,100.0,75.0,['rain'],74.7,rain
83,2022-03-25,15.1,12.3,13.3,8.823,100.0,75.0,['rain'],85.9,rain
84,2022-03-26,15.0,10.7,12.8,6.34,100.0,83.33,['rain'],75.4,rain
85,2022-03-27,16.8,9.7,13.1,0.439,100.0,29.17,['rain'],62.3,rain
86,2022-03-28,16.2,8.0,12.3,0.0,0.0,0.0,,64.4,partly-cloudy-day
87,2022-03-29,18.0,9.9,13.8,0.0,0.0,0.0,,70.0,partly-cloudy-day
