,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,cloudcover,icon
67,2022-03-09,8.2,-0.4,4.6,2.5,100.0,20.83,['rain'],89.9,rain
68,2022-03-10,10.3,0.1,5.9,2.8,100.0,25.0,['rain'],80.8,rain
69,2022-03-11,10.3,3.1,5.9,14.0,100.0,20.83,['rain'],67.1,rain
70,2022-03-12,7.0,-1.0,3.3,1.0,100.0,4.17,['rain'],67.3,rain
71,2022-03-13,9.1,0.8,4.9,3.0,100.0,4.17,['rain'],57.3,rain
72,2022-03-14,8.4,2.2,5.4,9.2,100.0,12.5,['rain'],74.9,rain
73,2022-03-15,16.3,7.1,11.3,0.4,100.0,4.17,['rain'],89.8,rain
74,2022-03-16,11.5,8.0,9.9,0.0,0.0,0.0,,87.0,partly-cloudy-day
75,2022-03-17,9.0,4.7,7.1,0.0,0.0,0.0,,77.1,partly-cloudy-day
76,2022-03-18,11.6,3.0,6.9,0.0,0.0,0.0,,78.3,partly-cloudy-day
77,2022-03-19,12.8,5.1,8.4,0.0,0.0,0.0,,73.8,partly-cloudy-day
78,2022-03-20,12.2,6.0,8.7,0.0,0.0,0.0,['rain'],67.5,partly-cloudy-day
79,2022-03-21,11.8,6.5,8.9,1.7,100.0,8.33,['rain'],91.1,rain
80,2022-03-22,12.4,6.0,8.3,8.1,100.0,25.0,['rain'],95.0,rain
81,2022-03-23,11.1,5.3,7.6,0.1,100.0,4.17,['rain'],86.5,rain
82,2022-03-24,14.3,2.0,8.3,0.0,0.0,0.0,['rain'],42.3,partly-cloudy-day
83,2022-03-25,13.0,7.0,9.7,1.0,100.0,8.33,['rain'],81.3,rain
84,2022-03-26,14.3,7.0,10.0,0.0,0.0,0.0,['rain'],72.5,partly-cloudy-day
85,2022-03-27,14.4,7.0,9.9,0.0,0.0,0.0,,85.9,partly-cloudy-day
86,2022-03-28,14.1,6.7,10.3,0.0,0.0,0.0,,74.4,partly-cloudy-day
87,2022-03-29,15.0,4.3,9.6,0.3,100.0,4.17,['rain'],80.2,rain
88,2022-03-30,11.4,3.8,7.4,0.1,100.0,4.17,['rain'],63.3,rain
89,2022-03-31,11.0,1.0,5.5,0.6,100.0,4.17,"['rain', 'snow']",59.0,rain
90,2022-04-01,6.3,-1.0,2.3,0.0,0.0,0.0,['rain'],39.1,partly-cloudy-day
91,2022-04-02,7.4,-2.1,2.2,0.0,0.0,0.0,,49.6,partly-cloudy-day
92,2022-04-03,7.9,-3.0,2.1,0.0,0.0,0.0,['snow'],43.8,partly-cloudy-day
93,2022-04-04,10.4,-7.0,2.0,0.0,0.0,0.0,,24.4,partly-cloudy-day
94,2022-04-05,15.3,-6.5,4.5,0.0,0.0,0.0,,39.6,partly-cloudy-day
95,2022-04-06,16.7,-2.2,7.3,0.0,0.0,0.0,,20.5,partly-cloudy-day
96,2022-04-07,14.5,4.3,9.2,0.0,0.0,0.0,,45.7,partly-cloudy-day
97,2022-04-08,12.5,5.2,8.6,0.0,0.0,0.0,['rain'],77.4,partly-cloudy-day
98,2022-04-09,15.5,0.5,8.8,0.3,100.0,4.17,"['rain', 'snow']",34.8,rain
99,2022-04-10,19.3,3.8,11.2,0.0,0.0,0.0,,40.0,partly-cloudy-day
100,2022-04-11,15.2,6.2,9.7,0.0,0.0,0.0,['rain'],53.4,partly-cloudy-day
101,2022-04-12,12.5,5.3,8.2,8.7,100.0,4.17,['rain'],79.6,rain
102,2022-04-13,17.0,0.3,8.7,1.4,100.0,4.17,"['rain', 'snow']",45.0,rain
103,2022-04-14,19.8,1.5,10.8,0.0,0.0,0.0,,36.8,partly-cloudy-day
104,2022-04-15,21.3,2.7,13.1,0.0,0.0,0.0,,11.5,clear-day
105,2022-04-16,24.5,6.5,15.7,0.0,0.0,0.0,,23.5,partly-cloudy-day
106,2022-04-17,22.6,5.1,13.4,0.0,0.0,0.0,,61.0,partly-cloudy-day
107,2022-04-18,19.8,1.0,10.4,0.0,0.0,0.0,['rain'],24.4,partly-cloudy-day
108,2022-04-19,12.0,4.1,7.7,0.4,100.0,4.17,['rain'],67.4,rain
109,2022-04-20,9.6,0.9,5.5,0.0,0.0,0.0,['rain'],45.4,partly-cloudy-day
110,2022-04-21,13.5,-1.7,6.5,0.0,0.0,0.0,,57.9,partly-cloudy-day
111,2022-04-22,8.0,5.0,6.0,13.3,100.0,25.0,['rain'],92.5,rain
112,2022-04-23,8.2,3.1,5.2,1.6,100.0,12.5,['rain'],89.3,rain
113,2022-04-24,14.5,2.2,8.6,0.0,0.0,0.0,,43.2,partly-cloudy-day
114,2022-04-25,16.0,0.9,9.5,0.0,0.0,0.0,,55.9,partly-cloudy-day
115,2022-04-26,16.1,5.3,10.0,3.6,100.0,8.33,['rain'],69.7,rain
116,2022-04-27,17.5,4.6,10.5,1.0,100.0,4.17,['rain'],68.3,rain
117,2022-04-28,15.4,4.0,10.5,0.0,0.0,0.0,['rain'],57.4,wind
118,2022-04-29,21.5,5.4,13.0,0.0,0.0,0.0,,39.4,partly-cloudy-day
119,2022-04-30,23.3,7.8,15.2,0.0,0.0,0.0,,69.1,partly-cloudy-day
120,2022-05-01,20.3,7.3,14.5,0.0,0.0,0.0,['rain'],53.2,partly-cloudy-day
121,2022-05-02,15.6,6.4,9.7,3.4,100.0,8.33,['rain'],78.9,rain
122,2022-05-03,14.5,5.0,10.4,0.0,0.0,0.0,['rain'],67.5,partly-cloudy-day
