Municipio,Salto,Método,MAPE
39075,0,Naive Estacional,0.42438251094965257
39075,1,Naive Estacional,0.4598129798099265
39075,2,Naive Estacional,0.5267568364270886
39075,3,Naive Estacional,0.6739754057697838
39075,4,Naive Estacional,0.44171582028087836
39075,5,Naive Estacional,0.30708161536709366
39075,6,Naive Estacional,0.3517599494641252
39075,7,Naive Estacional,0.23967814607363502
39075,8,Naive Estacional,0.3058624939654341
39075,9,Naive Estacional,0.29133548031194645
39075,10,Naive Estacional,0.274574501926159
39075,11,Naive Estacional,0.17950957765697192
39075,12,Naive Estacional,0.13528214053792426
39075,13,Naive Estacional,0.1121119281394199
39075,0,SARIMAX,0.5995715952802149
39075,1,SARIMAX,0.6211334018591553
39075,2,SARIMAX,0.7086700935663225
39075,3,SARIMAX,0.7394041671924613
39075,4,SARIMAX,0.5784510315585002
39075,5,SARIMAX,0.6381173070671673
39075,6,SARIMAX,0.6956785931167685
39075,7,SARIMAX,0.25202515117677166
39075,8,SARIMAX,0.25603146191973736
39075,9,SARIMAX,0.43362963085813266
39075,10,SARIMAX,0.47535273043307014
39075,11,SARIMAX,0.3544094688903714
39075,12,SARIMAX,0.3860864643432957
39075,13,SARIMAX,0.6635057924309755
39075,0,Prophet,0.20146141125816902
39075,1,Prophet,0.19745770810360994
39075,2,Prophet,0.2116509077059392
39075,3,Prophet,0.2529906677723174
39075,4,Prophet,0.1937018500713067
39075,5,Prophet,0.26812974878214885
39075,6,Prophet,0.16551443572169164
39075,7,Prophet,0.1482213738609481
39075,8,Prophet,0.14195480112549505
39075,9,Prophet,0.13491864376919227
39075,10,Prophet,0.1843012666950655
39075,11,Prophet,0.11035250212643724
39075,12,Prophet,0.23637286540682934
39075,13,Prophet,0.1320287527222377
