,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Saints' Day,All Saints' Day_lower,All Saints' Day_upper,Assumption Day,Assumption Day_lower,Assumption Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Constitution Day,Constitution Day_lower,Constitution Day_upper,Epiphany,Epiphany_lower,Epiphany_upper,Good Friday,Good Friday_lower,Good Friday_upper,Immaculate Conception,Immaculate Conception_lower,Immaculate Conception_upper,Labor Day,Labor Day_lower,Labor Day_upper,National Day,National Day_lower,National Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,claro,claro_lower,claro_upper,cubierto,cubierto_lower,cubierto_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,findesemana,findesemana_lower,findesemana_upper,holidays,holidays_lower,holidays_upper,navidad,navidad_lower,navidad_upper,precipitacion,precipitacion_lower,precipitacion_upper,semanasanta,semanasanta_lower,semanasanta_upper,temp,temp_lower,temp_upper,verano,verano_lower,verano_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
731,2024-01-09,5645.4198866555425,2996.551349053679,5411.968537185143,5645.4198866555425,5645.4198866555425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1425.8007952860678,-1425.8007952860678,-1425.8007952860678,0.0,0.0,0.0,0.0,0.0,0.0,556.8553333959178,556.8553333959178,556.8553333959178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.4751386224,809.4751386224,809.4751386224,0.0,0.0,0.0,-252.61980522648224,-252.61980522648224,-252.61980522648224,0.0,0.0,0.0,-1444.3462694182058,-1444.3462694182058,-1444.3462694182058,-538.3098592637801,-538.3098592637801,-538.3098592637801,0.0,0.0,0.0,4219.6190913694745
732,2024-01-10,5644.899525320139,2834.293687118377,5196.035644265412,5644.899525320139,5644.899525320139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1644.6647319717451,-1644.6647319717451,-1644.6647319717451,0.0,0.0,0.0,0.0,0.0,0.0,587.5998087104249,587.5998087104249,587.5998087104249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.4751386224,809.4751386224,809.4751386224,0.0,0.0,0.0,-221.87532991197523,-221.87532991197523,-221.87532991197523,0.0,0.0,0.0,-1509.627728717412,-1509.627728717412,-1509.627728717412,-722.6368119647582,-722.6368119647582,-722.6368119647582,0.0,0.0,0.0,4000.2347933483943
733,2024-01-11,5644.379163984737,2577.6085819882937,4883.127336574081,5644.379163984737,5644.379163984737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1936.844299021573,-1936.844299021573,-1936.844299021573,0.0,0.0,0.0,585.5896581748001,585.5896581748001,585.5896581748001,288.03561979634594,288.03561979634594,288.03561979634594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-297.5540383784541,-297.5540383784541,-297.5540383784541,0.0,0.0,0.0,-1319.8471683711066,-1319.8471683711066,-1319.8471683711066,-905.0327504468122,-905.0327504468122,-905.0327504468122,0.0,0.0,0.0,3707.5348649631637
734,2024-01-12,5643.8588026493335,2832.9884749667526,5257.421889000382,5643.8588026493335,5643.8588026493335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1594.685674081516,-1594.685674081516,-1594.685674081516,0.0,0.0,0.0,585.5896581748001,585.5896581748001,585.5896581748001,304.5903372733882,304.5903372733882,304.5903372733882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-280.99932090141186,-280.99932090141186,-280.99932090141186,0.0,0.0,0.0,-815.7459736699129,-815.7459736699129,-815.7459736699129,-1083.530037684991,-1083.530037684991,-1083.530037684991,0.0,0.0,0.0,4049.1731285678175
735,2024-01-13,5643.338441313931,5463.598830197213,7781.099990031244,5643.338441313931,5643.364753726278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.560313775056,973.560313775056,973.560313775056,0.0,0.0,0.0,585.5896581748001,585.5896581748001,585.5896581748001,-22.761060941177973,-22.761060941177973,-22.761060941177973,-407.7600259602,-407.7600259602,-407.7600259602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.59069315577798,-200.59069315577798,-200.59069315577798,0.0,0.0,0.0,2252.5143998292037,2252.5143998292037,2252.5143998292037,-1256.1930251129702,-1256.1930251129702,-1256.1930251129702,0.0,0.0,0.0,6616.898755088987
736,2024-01-14,5642.818079978528,6851.770522023652,9318.012945227005,5642.818079978528,5642.959402845276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2466.3290224798693,2466.3290224798693,2466.3290224798693,0.0,0.0,0.0,0.0,0.0,0.0,248.42361229797137,248.42361229797137,248.42361229797137,-407.7600259602,-407.7600259602,-407.7600259602,0.0,0.0,0.0,0.0,0.0,0.0,809.4751386224,809.4751386224,809.4751386224,0.0,0.0,0.0,-153.29150036422868,-153.29150036422868,-153.29150036422868,0.0,0.0,0.0,3639.0606678306763,3639.0606678306763,3639.0606678306763,-1421.155257648778,-1421.155257648778,-1421.155257648778,0.0,0.0,0.0,8109.147102458397
737,2024-01-15,5642.297718643124,2655.7426775016793,5152.742401115891,5642.216723551255,5642.565480281032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1665.7209046598023,-1665.7209046598023,-1665.7209046598023,0.0,0.0,0.0,0.0,0.0,0.0,712.9426696080305,712.9426696080305,712.9426696080305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.4751386224,809.4751386224,809.4751386224,0.0,0.0,0.0,-96.53246901436948,-96.53246901436948,-96.53246901436948,0.0,0.0,0.0,-802.0079274923415,-802.0079274923415,-802.0079274923415,-1576.6556467754915,-1576.6556467754915,-1576.6556467754915,0.0,0.0,0.0,3976.576813983322
738,2024-01-16,5641.777357307721,1943.0075557750597,4353.188141458893,5641.597121812883,5642.262026247856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2473.7609661887386,-2473.7609661887386,-2473.7609661887386,0.0,0.0,0.0,0.0,0.0,0.0,691.6580328518334,691.6580328518334,691.6580328518334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.4751386224,809.4751386224,809.4751386224,0.0,0.0,0.0,-117.81710577056668,-117.81710577056668,-117.81710577056668,0.0,0.0,0.0,-1444.3462694182913,-1444.3462694182913,-1444.3462694182913,-1721.0727296222806,-1721.0727296222806,-1721.0727296222806,0.0,0.0,0.0,3168.0163911189825
739,2024-01-17,5641.256995972318,1720.0836389276662,4220.5008063958285,5640.881280045325,5641.953815451041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2625.9916351984766,-2625.9916351984766,-2625.9916351984766,0.0,0.0,0.0,0.0,0.0,0.0,736.5922660038052,736.5922660038052,736.5922660038052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.4751386224,809.4751386224,809.4751386224,0.0,0.0,0.0,-72.88287261859483,-72.88287261859483,-72.88287261859483,0.0,0.0,0.0,-1509.6277287191194,-1509.6277287191194,-1509.6277287191194,-1852.9561724831628,-1852.9561724831628,-1852.9561724831628,0.0,0.0,0.0,3015.265360773841
740,2024-01-18,5640.736634636915,1607.054326621799,4094.8114926470735,5640.223366830946,5641.6998463757745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2818.399437455938,-2818.399437455938,-2818.399437455938,0.0,0.0,0.0,585.5896581748001,585.5896581748001,585.5896581748001,472.5024716833883,472.5024716833883,472.5024716833883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.08718649141176,-113.08718649141176,-113.08718649141176,0.0,0.0,0.0,-1319.8471683724447,-1319.8471683724447,-1319.8471683724447,-1971.0547407668814,-1971.0547407668814,-1971.0547407668814,0.0,0.0,0.0,2822.3371971809775
