ds,y,diasemana,findesemana
2024-06-03,15974.999,0,0
2024-06-04,15971.791,1,0
2024-06-05,16097.222,2,0
2024-06-06,18351.222999999998,3,0
2024-06-07,25984.145,4,0
2024-06-08,28201.409,5,1
2024-06-09,29267.882,6,1
2024-06-10,17547.551,0,0
2024-06-11,16983.891,1,0
2024-06-12,17438.308,2,0
2024-06-13,17575.42,3,0
2024-06-14,18238.369,4,0
2024-06-15,23464.865999999998,5,1
2024-06-16,25123.719,6,1
2024-06-17,17939.818,0,0
2024-06-18,18171.327,1,0
2024-06-19,18763.374,2,0
2024-06-20,18737.027,3,0
2024-06-21,20102.386,4,0
2024-06-22,23395.983,5,1
2024-06-23,26409.302,6,1
2024-06-24,19801.582,0,0
2024-06-25,20467.072,1,0
2024-06-26,20841.521,2,0
2024-06-27,20769.896,3,0
2024-06-28,21459.28,4,0
2024-06-29,26634.645,5,1
2024-06-30,35435.189,6,1
