ds,y,diasemana,findesemana
2024-01-09,21495.936,1,0
2024-01-10,16657.311,2,0
2024-01-11,14166.142,3,0
2024-01-12,13415.185,4,0
2024-01-13,13466.133,5,1
2024-01-14,12401.912,6,1
2024-01-15,7831.051,0,0
2024-01-16,7649.073,1,0
2024-01-17,7356.908,2,0
2024-01-18,7441.268,3,0
2024-01-19,7864.587,4,0
2024-01-20,9270.676,5,1
2024-01-21,10447.003,6,1
2024-01-22,7935.06,0,0
2024-01-23,8010.303,1,0
2024-01-24,8203.813,2,0
2024-01-25,8150.658,3,0
2024-01-26,8449.252,4,0
2024-01-27,11065.089,5,1
2024-01-28,13480.04,6,1
2024-01-29,9513.108,0,0
2024-01-30,8416.123,1,0
2024-01-31,8621.274,2,0
2024-02-01,8767.526,3,0
2024-02-02,9260.519,4,0
2024-02-03,12029.921,5,1
2024-02-04,14124.561,6,1
2024-02-05,9677.474,0,0
2024-02-06,8884.193,1,0
2024-02-07,9045.162,2,0
2024-02-08,8841.761,3,0
2024-02-09,10206.263,4,0
2024-02-10,16162.336,5,1
2024-02-11,18350.249,6,1
2024-02-12,8861.855,0,0
2024-02-13,8073.361,1,0
2024-02-14,8215.391,2,0
2024-02-15,8531.403,3,0
2024-02-16,8884.172,4,0
2024-02-17,14076.762,5,1
2024-02-18,17030.012,6,1
2024-02-19,12358.451,0,0
2024-02-20,12198.715,1,0
2024-02-21,11860.206,2,0
2024-02-22,11639.123,3,0
2024-02-23,11448.706,4,0
2024-02-24,15669.245,5,1
2024-02-25,17820.919,6,1
2024-02-26,9768.687,0,0
2024-02-27,9550.575,1,0
2024-02-28,9728.732,2,0
2024-02-29,10452.073,3,0
2024-03-01,11500.93,4,0
2024-03-02,15653.775,5,1
2024-03-03,17820.067,6,1
2024-03-04,9682.201,0,0
2024-03-05,9270.988,1,0
2024-03-06,9147.936,2,0
2024-03-07,9120.138,3,0
2024-03-08,9358.761,4,0
2024-03-09,12339.012,5,1
2024-03-10,14488.793,6,1
2024-03-11,9849.0,0,0
2024-03-12,9614.021,1,0
2024-03-13,10155.929,2,0
2024-03-14,10052.711,3,0
2024-03-15,9832.842,4,0
2024-03-16,12785.271,5,1
2024-03-17,13678.593,6,1
2024-03-18,10274.341,0,0
2024-03-19,10376.235,1,0
2024-03-20,11008.182999999999,2,0
2024-03-21,10884.846,3,0
2024-03-22,10904.614,4,0
2024-03-23,13600.958,5,1
2024-03-24,16471.73,6,1
2024-03-25,14785.377,0,0
2024-03-26,14026.802,1,0
2024-03-27,12241.505,2,0
2024-03-28,11950.728000000001,3,0
2024-03-29,12733.77,4,0
2024-03-30,17612.102,5,1
2024-03-31,24444.538,6,1
2024-04-01,24655.533,0,0
2024-04-02,26311.316,1,0
2024-04-03,29128.807,2,0
2024-04-04,35371.172,3,0
2024-04-05,49800.266,4,0
2024-04-06,52501.257,5,1
2024-04-07,44595.763,6,1
2024-04-08,28208.369,0,0
2024-04-09,19422.35,1,0
2024-04-10,18283.819,2,0
2024-04-11,19026.133,3,0
2024-04-12,18847.581,4,0
2024-04-13,19910.902,5,1
2024-04-14,20636.044,6,1
2024-04-15,16266.513,0,0
2024-04-16,12154.928,1,0
2024-04-17,12078.46,2,0
2024-04-19,12296.477,4,0
2024-04-20,12995.756,5,1
2024-04-21,15890.688,6,1
2024-04-22,18007.679,0,0
2024-04-23,12718.751,1,0
2024-04-24,12038.953,2,0
2024-04-25,11957.704,3,0
2024-04-26,12836.246,4,0
2024-04-27,16457.19,5,1
2024-04-28,18640.139,6,1
2024-04-29,14413.548999999999,0,0
2024-04-30,13646.474,1,0
2024-05-01,12750.416,2,0
2024-05-02,13212.71,3,0
2024-05-03,13841.779,4,0
2024-05-04,15826.923999999999,5,1
2024-05-05,18802.254,6,1
2024-05-06,15003.691,0,0
2024-05-07,14768.249,1,0
2024-05-08,18266.421,2,0
2024-05-09,27502.862,3,0
2024-05-10,28663.137,4,0
2024-05-11,29308.059,5,1
2024-05-12,24621.528,6,1
2024-05-13,13515.917,0,0
2024-05-14,12911.884,1,0
2024-05-15,13289.006,2,0
2024-05-16,13259.083,3,0
2024-05-17,14185.513,4,0
2024-05-18,17208.612,5,1
2024-05-19,19978.153,6,1
2024-05-20,14674.836,0,0
2024-05-21,14114.615,1,0
2024-05-22,14401.03,2,0
2024-05-23,14332.891,3,0
2024-05-24,15211.777,4,0
2024-05-25,18122.976,5,1
2024-05-26,19996.339,6,1
2024-05-27,15195.423999999999,0,0
2024-05-28,15518.886,1,0
2024-05-29,15692.873,2,0
2024-05-30,15976.456,3,0
2024-05-31,16525.56,4,0
2024-06-01,20134.873,5,1
2024-06-02,21699.675,6,1
