,0
0,6404.958
1,6330.139
2,6316.319
3,6628.9614
4,6357.644
5,6682.0933
6,6819.929
7,6959.0547
8,6524.251
9,7033.536
10,6673.348
11,6826.715
12,7164.9897
13,7462.8237
14,6211.838
15,5964.422
16,5906.184
17,6435.963
18,6182.4795
19,6395.0537
20,6439.305
21,6663.72
22,6423.3633
23,6723.642
24,6333.0566
25,6781.1733
26,7004.9746
27,7227.4585
28,5806.2056
29,5771.8735
30,5827.187
31,6031.0195
32,5917.974
33,6101.642
34,6214.272
35,6435.791
36,6154.0156
37,6452.4897
38,6025.3774
39,6269.752
40,6694.7197
41,6830.8813
42,6306.6963
43,6517.0747
44,6541.707
45,6602.441
46,6313.9805
47,6741.106
48,6952.95
49,7104.8804
50,6457.3037
51,6995.7295
52,6688.5107
53,6513.882
54,7005.538
55,7332.5996
56,6087.0415
57,5955.215
58,5754.924
59,6306.364
60,6239.0146
61,6440.3223
62,6238.433
63,6456.1147
64,6470.7188
65,6486.196
66,6017.027
67,6627.825
68,6925.7876
69,7237.71
70,14123.551
71,14249.655
72,15349.55
73,14687.697
74,13716.625
75,13406.744
76,13587.4
77,13153.661
78,12422.1455
79,12925.596
80,13283.621
81,12242.007
82,12075.275
83,13003.989
84,6186.969
85,6051.447
86,5908.3887
87,6366.363
88,6303.927
89,6551.194
90,6307.021
91,6572.4316
92,6486.808
93,6615.411
94,6075.911
95,6746.4614
96,7065.9966
97,7312.488
98,5851.833
99,5874.548
100,5892.8394
101,6187.087
102,6110.3247
103,6213.543
104,6393.193
105,6673.6636
106,6315.023
107,6588.74
108,6341.2876
109,6526.529
110,6777.046
111,6947.2905
112,6052.3794
113,5991.436
114,5918.759
115,6087.979
116,6036.821
117,6601.8433
118,6431.78
119,6679.7285
120,6385.5537
121,6514.8164
122,6439.7676
123,6860.348
124,6883.6274
125,6734.3613
126,6596.2437
127,6354.733
128,6390.1743
129,6742.9463
130,6443.3223
131,6747.5596
132,6851.564
133,7020.6616
134,6589.1753
135,7150.727
136,6754.003
137,6855.455
138,7287.326
139,7607.7617
140,6069.058
141,6176.747
142,6161.8306
143,6287.9614
144,6018.1357
145,6598.431
146,6548.858
147,6700.835
148,6156.907
149,6439.231
150,6227.3896
151,6740.127
152,6868.285
153,6804.816
154,6124.171
155,6329.914
156,6474.2686
157,6369.2095
158,6114.7754
159,6687.609
160,6820.326
161,6990.414
162,6291.4067
163,6894.352
164,6474.7104
165,6747.4478
166,6974.118
167,7056.7524
