,pred
730,11588.143125920193
731,11915.855432449833
732,11044.75877148663
733,10764.055431890365
734,10363.00372821353
735,13003.026034444312
736,9319.091075126447
737,6012.619456666807
738,6201.735647021755
739,5991.305099713768
740,5104.091171967992
741,5148.63237895842
742,7795.297214477966
743,9119.425918163128
744,5574.734972936606
745,5401.491579387171
746,5290.687114270913
747,4530.071673889437
748,5099.556534076255
749,6954.113320139687
750,8341.809504777995
751,4859.569934392226
752,5058.525971646361
753,5056.104062961665
754,4904.374659946196
755,4578.669606871344
756,7752.849872103018
757,8467.816898098023
758,4555.6179975787245
759,4378.11659856487
760,4340.187012696806
761,4260.283612477983
762,4437.219489757308
763,7712.3171337476315
764,8339.191067701944
765,4411.4470774278725
766,4257.2596322063155
767,4335.42802821321
768,-672.228689634268
769,4734.66470541157
770,8157.467484606065
771,8810.794176101339
772,4977.054521242771
773,4449.801596314493
774,4675.425009991454
775,4981.800770492736
776,4747.546419257498
777,7683.247517519192
778,8239.267549390823
779,4411.345605136016
780,4369.611963088643
781,4263.419780275978
782,4804.474857110247
783,4505.4073611274835
784,8272.508712008146
785,8840.267583297416
786,4939.476938558779
787,4754.477472875657
788,4260.6895507040845
789,-111.5637045459889
790,4949.488063660938
791,8245.693871754778
792,8486.358349996417
793,4766.427176018336
794,4637.164775101562
795,4323.940622589851
796,5654.200811790954
797,4879.771210958979
798,8247.35998936639
799,9096.664213475398
800,4679.173351866039
801,4191.93933715581
802,4251.587681484294
803,4839.914783932932
804,4346.065389094177
805,7792.679436869411
806,8565.787480138892
807,4226.554185837107
808,4150.886251440563
809,4218.009675769727
810,4589.70431025965
811,7692.942946858755
812,11854.867917104106
813,12340.640809829101
814,9579.960701092645
815,9787.151880211102
816,9950.920852784959
817,10972.820295403715
818,11824.289373467767
819,14293.640810206825
820,14325.83128528076
821,5294.182223809575
822,4863.763759114239
823,4815.697841804786
824,5238.22890984745
825,5609.623435263924
826,8585.665391283255
827,8967.72812136059
828,4847.054644418095
829,4543.008401444533
830,4501.5808418153
831,4944.251793876483
832,8840.4920388969
833,8288.977780806657
834,5132.562059013842
835,4625.759092105853
836,4400.992111703941
837,3901.1660211603057
838,4751.35378031765
839,8105.410644068925
840,7889.680776776341
841,4438.235506850652
842,4057.275026734652
843,4301.337391353667
844,4357.695802564567
845,4584.787195460399
846,8491.60432808217
847,8519.906973669646
848,4829.951180493113
849,4668.296040561516
850,4481.154449031216
851,8611.384311701571
852,5045.62800981767
853,8571.439082485393
854,8453.501443432717
855,4809.869056991263
856,4533.319547896479
857,4416.102160796372
858,4148.429386018074
859,4728.147360406136
860,8170.410244604595
861,8350.734161696813
862,4584.007355561058
863,4366.352639618658
864,4342.571705083859
865,4207.748966970881
866,4711.657582246889
867,8316.401538948183
868,8484.434416309286
869,4543.333730849767
