,0
0,5842.581
1,5458.2065
2,5491.851
3,5954.9126
4,6221.022
5,6234.366
6,6570.074
7,6344.3896
8,6377.429
9,6442.34
10,6589.4746
11,6854.377
12,7079.7793
13,7297.2666
14,5824.403
15,6430.998
16,6335.0996
17,6701.6963
18,6575.1265
19,6938.5586
20,6898.3955
21,7016.724
22,7008.8716
23,6366.452
24,6638.9697
25,6018.337
26,6242.1313
27,5988.1885
28,5551.86
29,5030.5073
30,5090.2524
31,5524.465
32,5838.1533
33,5910.418
34,5961.945
35,6016.424
36,6028.842
37,6108.0493
38,6161.64
39,6203.8584
40,6427.1235
41,6649.471
42,5699.712
43,5324.586
44,5113.589
45,5497.433
46,5917.5405
47,5840.069
48,5798.314
49,5792.5825
50,5798.424
51,5633.894
52,5732.4175
53,5815.8745
54,6460.543
55,6300.437
56,5849.0044
57,5783.1665
58,6108.925
59,6375.034
60,6435.872
61,6900.546
62,7061.6895
63,7298.0903
64,7227.7524
65,7290.483
66,7312.6084
67,6949.597
68,7158.7476
69,7322.5107
70,12273.431
71,12178.222
72,10312.299
73,9037.747
74,10070.771
75,8129.595
76,8388.514
77,6763.3086
78,6202.343
79,5515.916
80,6519.1035
81,5728.1836
82,6384.8687
83,5807.9917
84,5664.3516
85,5748.6045
86,5957.5605
87,6216.0273
88,6186.866
89,6586.0146
90,6824.3047
91,7083.6997
92,6982.409
93,6961.188
94,6979.5845
95,6550.2837
96,6830.3154
97,6894.14
98,4738.2437
99,4345.923
100,4582.3955
101,5124.736
102,5313.0996
103,4996.14
104,5217.2856
105,5467.845
106,5158.128
107,5335.4883
108,5382.0977
109,5184.6587
110,5835.097
111,5673.113
112,5685.066
113,5745.8613
114,5894.372
115,6387.7466
116,6465.718
117,6549.896
118,6539.9062
119,6736.792
120,6672.096
121,6632.294
122,6692.2207
123,6409.356
124,6661.952
125,6597.399
126,5500.5654
127,5446.544
128,5621.883
129,6137.5415
130,6180.222
131,6452.7305
132,6406.0977
133,6728.5977
134,6625.7544
135,6661.659
136,6659.115
137,6312.079
138,6540.108
139,6612.6313
140,4751.965
141,4481.7324
142,4748.371
143,5387.0513
144,5423.651
145,5343.3174
146,5601.345
147,5709.1562
148,5626.2495
149,5538.517
150,5604.8447
151,5257.1665
152,5943.1465
153,5638.993
154,5481.7695
155,5320.4634
156,5572.331
157,5917.757
158,6136.2046
159,6027.067
160,6047.1416
161,6167.096
162,6180.923
163,6245.632
164,6275.7466
165,6342.593
166,6607.7173
167,6584.415
