,pred
730,19015.72029658375
731,21608.61198224344
732,24431.59562240066
733,24895.760415094268
734,21973.37338322147
735,26358.709613942065
736,9332.000681843794
737,6922.970830034129
738,6842.361631266924
739,5976.527973286537
740,5871.569190737876
741,4428.309632647688
742,9102.877907881128
743,13406.187992376286
744,13476.48273593767
745,13824.487021482051
746,13185.828826696894
747,12088.789497721531
748,9435.106468080457
749,12258.073752675708
750,11312.390161626969
751,6684.041659548432
752,9189.211447295567
753,9954.57178506448
754,11922.641225041683
755,10144.87098888231
756,12977.819880232139
757,12868.482689122293
758,10774.270530854761
759,9746.294063011059
760,9104.19788943582
761,7045.8961591847865
762,5227.947436235249
763,12723.987602288988
764,12542.477998869803
765,5829.360545433781
766,7395.739846924336
767,12739.657474152678
768,10885.645236134682
769,8147.400409173778
770,13688.237301074485
771,11179.867802579547
772,14448.961605685532
773,14867.597460281719
774,10176.499623557202
775,9177.4948828732
776,10456.006375176068
777,14133.551258840576
778,15609.875570387
779,8329.756860882919
780,8984.53085276896
781,8551.167929531588
782,13968.204469998695
783,10516.051299663059
784,13467.751479460823
785,14226.136595126218
786,11680.881210923546
787,9532.017197866551
788,7861.771545368733
789,10393.171447112361
790,10897.16114779541
791,15616.285904561759
792,11762.242135031935
793,9921.91188043779
794,11397.018459086654
795,8909.357066866525
796,7877.411053738648
797,8771.796885091018
798,11009.94358986909
799,12386.90076880466
800,12100.716060436804
801,11126.578608583208
802,8042.900562364854
803,10709.40210304661
804,13606.573392721546
805,18334.48008295045
806,18346.764276339385
807,11983.65687995441
808,11896.37735702985
809,13191.707637389489
810,13731.428587539336
811,27023.170371198197
812,31117.499527424032
813,28576.48615881709
814,30145.263580424267
815,24213.934009152024
816,27387.14592938881
817,30545.369363074133
818,29214.83249010954
819,30613.033525568484
820,28588.701693780215
821,10666.177214790836
822,10948.382011357167
823,13726.183464738548
824,12651.816334456176
825,12651.816334456176
826,19126.94004337068
827,21469.162237631812
828,16222.55448322399
829,15183.567868510367
830,12292.950906331791
831,11622.50423758366
832,18594.000920326223
833,19272.67853065267
834,15984.325788523585
835,15887.823718827445
836,15102.14690662195
837,12932.542959854354
838,12176.219184760843
839,16590.089710505563
840,14645.25714597939
841,11419.895409667331
842,10807.179988252878
843,9486.910748226364
844,9732.687292245177
845,10732.584180680467
846,17304.1383974068
847,19564.551158017315
848,11098.025304297082
849,9336.910091034864
850,11431.149073814395
851,25523.775170671
852,11323.274155499232
853,18121.05163106723
854,21193.369515171813
855,15523.013274491841
856,15584.812866976654
857,15393.794010228756
858,11764.779872340347
859,14791.719609478712
860,19835.540072490745
861,19250.73181488884
862,15637.976404711046
863,16567.62753628851
864,18247.363024939015
865,17602.179665377484
866,16419.34350618134
867,21985.21321458244
868,20736.419112134303
869,15559.099026765965
