,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Saints' Day,All Saints' Day_lower,All Saints' Day_upper,Assumption Day,Assumption Day_lower,Assumption Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Constitution Day,Constitution Day_lower,Constitution Day_upper,Epiphany,Epiphany_lower,Epiphany_upper,Good Friday,Good Friday_lower,Good Friday_upper,Immaculate Conception,Immaculate Conception_lower,Immaculate Conception_upper,Labor Day,Labor Day_lower,Labor Day_upper,National Day,National Day_lower,National Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,claro,claro_lower,claro_upper,cubierto,cubierto_lower,cubierto_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,findesemana,findesemana_lower,findesemana_upper,holidays,holidays_lower,holidays_upper,navidad,navidad_lower,navidad_upper,precipitacion,precipitacion_lower,precipitacion_upper,semanasanta,semanasanta_lower,semanasanta_upper,temp,temp_lower,temp_upper,verano,verano_lower,verano_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
731,2024-01-09,7526.115497299823,2354.3413925438495,5531.690624960414,7526.115497299823,7526.115497299823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3633.0037482022167,-3633.0037482022167,-3633.0037482022167,0.0,0.0,0.0,0.0,0.0,0.0,335.147696550659,335.147696550659,335.147696550659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.75567444,1197.75567444,1197.75567444,0.0,0.0,0.0,-862.607977889341,-862.607977889341,-862.607977889341,0.0,0.0,0.0,-1295.170585160392,-1295.170585160392,-1295.170585160392,-2672.9808595924837,-2672.9808595924837,-2672.9808595924837,0.0,0.0,0.0,3893.111749097606
732,2024-01-10,7525.291621343269,2243.6634509522364,5299.139837814589,7525.291621343269,7525.291621343269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3751.528419312625,-3751.528419312625,-3751.528419312625,0.0,0.0,0.0,0.0,0.0,0.0,353.06373108680583,353.06373108680583,353.06373108680583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.75567444,1197.75567444,1197.75567444,0.0,0.0,0.0,-844.6919433531941,-844.6919433531941,-844.6919433531941,0.0,0.0,0.0,-1302.651738718823,-1302.651738718823,-1302.651738718823,-2801.940411680607,-2801.940411680607,-2801.940411680607,0.0,0.0,0.0,3773.763202030644
733,2024-01-11,7524.467745386715,2197.6748467150683,5278.694640479801,7524.467745386715,7524.467745386715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3795.335102328369,-3795.335102328369,-3795.335102328369,0.0,0.0,0.0,0.0,0.0,0.0,290.357610210292,290.357610210292,290.357610210292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.75567444,1197.75567444,1197.75567444,0.0,0.0,0.0,-907.398064229708,-907.398064229708,-907.398064229708,0.0,0.0,0.0,-1152.2224994148455,-1152.2224994148455,-1152.2224994148455,-2933.4702131238155,-2933.4702131238155,-2933.4702131238155,0.0,0.0,0.0,3729.1326430583463
734,2024-01-12,7523.643869430161,2804.8171799429574,5949.722967767514,7523.643869430161,7523.643869430161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3144.3477864470283,-3144.3477864470283,-3144.3477864470283,0.0,0.0,0.0,0.0,0.0,0.0,469.5179555717597,469.5179555717597,469.5179555717597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.75567444,1197.75567444,1197.75567444,0.0,0.0,0.0,-728.2377188682402,-728.2377188682402,-728.2377188682402,0.0,0.0,0.0,-547.1901920027965,-547.1901920027965,-547.1901920027965,-3066.675550015991,-3066.675550015991,-3066.675550015991,0.0,0.0,0.0,4379.296082983134
735,2024-01-13,7522.819993473608,5324.8440275677485,8363.404656006314,7522.819993473608,7522.819993473608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-655.9188471526296,-655.9188471526296,-655.9188471526296,0.0,0.0,0.0,1235.47059389,1235.47059389,1235.47059389,660.4491661779203,660.4491661779203,660.4491661779203,72.5941357435,72.5941357435,72.5941357435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-647.6155634555797,-647.6155634555797,-647.6155634555797,0.0,0.0,0.0,1884.1743254206644,1884.1743254206644,1884.1743254206644,-3200.542338751214,-3200.542338751214,-3200.542338751214,0.0,0.0,0.0,6866.901146320978
736,2024-01-14,7521.996117517053,6572.102081914302,9702.575888102774,7521.97959260712,7522.03597188212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.8327974439578,601.8327974439578,601.8327974439578,0.0,0.0,0.0,0.0,0.0,0.0,855.6426956978285,855.6426956978285,855.6426956978285,72.5941357435,72.5941357435,72.5941357435,0.0,0.0,0.0,0.0,0.0,0.0,1197.75567444,1197.75567444,1197.75567444,0.0,0.0,0.0,-414.7071144856716,-414.7071144856716,-414.7071144856716,0.0,0.0,0.0,3080.142581534956,3080.142581534956,3080.142581534956,-3333.952479788827,-3333.952479788827,-3333.952479788827,0.0,0.0,0.0,8123.828914961011
737,2024-01-15,7521.172241560499,2880.137625661224,6118.11935730577,7521.121913130003,7521.246161224098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3134.74386826031,-3134.74386826031,-3134.74386826031,0.0,0.0,0.0,0.0,0.0,0.0,998.0409743880898,998.0409743880898,998.0409743880898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.75567444,1197.75567444,1197.75567444,0.0,0.0,0.0,-199.71470005191023,-199.71470005191023,-199.71470005191023,0.0,0.0,0.0,-667.0818916657838,-667.0818916657838,-667.0818916657838,-3465.7029509826157,-3465.7029509826157,-3465.7029509826157,0.0,0.0,0.0,4386.4283733001885
738,2024-01-16,7520.348365603945,2243.3564838805437,5361.899413455796,7520.231722045946,7520.48424887046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3766.2455646835565,-3766.2455646835565,-3766.2455646835565,0.0,0.0,0.0,0.0,0.0,0.0,1123.453216141117,1123.453216141117,1123.453216141117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.75567444,1197.75567444,1197.75567444,0.0,0.0,0.0,-74.30245829888273,-74.30245829888273,-74.30245829888273,0.0,0.0,0.0,-1295.1705851606005,-1295.1705851606005,-1295.1705851606005,-3594.5281956640733,-3594.5281956640733,-3594.5281956640733,0.0,0.0,0.0,3754.1028009203887
739,2024-01-17,7519.524489647391,2448.071885546883,5564.772981773816,7519.309262000041,7519.715959548267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3547.0782544101407,-3547.0782544101407,-3547.0782544101407,0.0,0.0,0.0,1235.47059389,1235.47059389,1235.47059389,1474.6987399736856,1474.6987399736856,1474.6987399736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.22814608368571,239.22814608368571,239.22814608368571,0.0,0.0,0.0,-1302.6517387204149,-1302.6517387204149,-1302.6517387204149,-3719.1252556634126,-3719.1252556634126,-3719.1252556634126,0.0,0.0,0.0,3972.4462352372507
740,2024-01-18,7518.700613690837,1899.0363836921176,5100.829031103586,7518.373021833741,7518.979320230808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4055.068655454782,-4055.068655454782,-4055.068655454782,0.0,0.0,0.0,0.0,0.0,0.0,935.3348535115762,935.3348535115762,935.3348535115762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.75567444,1197.75567444,1197.75567444,0.0,0.0,0.0,-262.4208209284239,-262.4208209284239,-262.4208209284239,0.0,0.0,0.0,-1152.2224994158985,-1152.2224994158985,-1152.2224994158985,-3838.1810095504597,-3838.1810095504597,-3838.1810095504597,0.0,0.0,0.0,3463.6319582360547
