Municipio;MŽtodo;MAPE
03031;Naive Estacional;0.236908636194739
24089;Naive Estacional;0.301559332283447
39075;Naive Estacional;0.298301661403311
03031;LSTM;0.317303172775831
24089;LSTM;0.397949469212194
39075;LSTM;0.318845874533335
03031;Prophet;0.154950698357708
24089;Prophet;0.134755881560758
39075;Prophet;0.128119191694994
03031;SARIMAX;0.290771736961614
24089;SARIMAX;0.428871016091108
39075;SARIMAX;0.41819213137684
