ds,y,diasemana,findesemana
2024-01-09,12600.943,1,0
2024-01-10,11511.299,2,0
2024-01-11,11136.232,3,0
2024-01-12,10512.751,4,0
2024-01-13,10418.256,5,1
2024-01-14,8957.229,6,1
2024-01-15,4884.075,0,0
2024-01-16,3795.115,1,0
2024-01-17,3690.351,2,0
2024-01-18,3721.958,3,0
2024-01-19,3746.667,4,0
2024-01-20,5234.067,5,1
2024-01-21,6375.576,6,1
2024-01-22,3752.967,0,0
2024-01-23,3706.971,1,0
2024-01-24,3638.988,2,0
2024-01-25,3852.005,3,0
2024-01-26,3977.836,4,0
2024-01-27,6073.965,5,1
2024-01-28,7101.685,6,1
2024-01-29,4093.277,0,0
2024-01-30,3865.958,1,0
2024-01-31,4062.011,2,0
2024-02-01,4217.528,3,0
2024-02-02,4675.523,4,0
2024-02-03,6745.6630000000005,5,1
2024-02-04,8048.953,6,1
2024-02-05,4579.432,0,0
2024-02-06,3876.751,1,0
2024-02-07,4028.862,2,0
2024-02-08,4084.105,3,0
2024-02-09,4595.22,4,0
2024-02-10,7034.601,5,1
2024-02-11,8334.999,6,1
2024-02-12,4253.416,0,0
2024-02-13,3720.094,1,0
2024-02-14,3819.371,2,0
2024-02-15,3809.212,3,0
2024-02-16,4037.417,4,0
2024-02-17,6610.092,5,1
2024-02-18,8339.496,6,1
2024-02-19,5404.385,0,0
2024-02-20,4806.071,1,0
2024-02-21,4015.752,2,0
2024-02-22,4073.2019999999998,3,0
2024-02-23,4351.374,4,0
2024-02-24,7218.446,5,1
2024-02-25,8659.387,6,1
2024-02-26,4258.999,0,0
2024-02-27,4028.361,1,0
2024-02-28,4210.643,2,0
2024-02-29,4581.42,3,0
2024-03-01,5438.907,4,0
2024-03-02,8241.056,5,1
2024-03-03,8813.464,6,1
2024-03-04,4225.655,0,0
2024-03-05,3991.35,1,0
2024-03-06,3896.083,2,0
2024-03-07,3934.534,3,0
2024-03-08,4173.343,4,0
2024-03-09,6741.022,5,1
2024-03-10,7674.443,6,1
2024-03-11,4271.38,0,0
2024-03-12,4063.807,1,0
2024-03-13,3808.568,2,0
2024-03-14,4391.366,3,0
2024-03-15,5676.036,4,0
2024-03-16,7340.345,5,1
2024-03-17,8357.63,6,1
2024-03-18,4366.286,0,0
2024-03-19,4034.772,1,0
2024-03-20,3996.569,2,0
2024-03-21,4136.141,3,0
2024-03-22,4731.427,4,0
2024-03-23,7594.785,5,1
2024-03-24,8740.133,6,1
2024-03-25,4424.809,0,0
2024-03-26,4216.194,1,0
2024-03-27,4356.618,2,0
2024-03-28,4290.027,3,0
2024-03-29,4883.826,4,0
2024-03-30,9287.743,5,1
2024-03-31,12974.643,6,1
2024-04-01,12132.213,0,0
2024-04-02,12485.298,1,0
2024-04-03,13027.097,2,0
2024-04-04,16531.222,3,0
2024-04-05,22426.912,4,0
2024-04-06,23647.049,5,1
2024-04-07,20105.384000000002,6,1
2024-04-08,9752.421,0,0
2024-04-09,5936.763,1,0
2024-04-10,5313.427,2,0
2024-04-11,5299.527,3,0
2024-04-12,5520.182,4,0
2024-04-13,7470.936,5,1
2024-04-14,7444.0779999999995,6,1
2024-04-15,3947.55,0,0
2024-04-16,3578.447,1,0
2024-04-17,3612.125,2,0
2024-04-19,3792.83,4,0
2024-04-20,4160.633,5,1
2024-04-21,7057.445,6,1
2024-04-22,8418.009,0,0
2024-04-23,3894.647,1,0
2024-04-24,3500.959,2,0
2024-04-25,3502.221,3,0
2024-04-26,4228.94,4,0
2024-04-27,7659.972,5,1
2024-04-28,10159.927,6,1
2024-04-29,7251.683,0,0
