ds,y,diasemana,findesemana
2024-04-30,6910.875,1,0
2024-05-01,4368.061,2,0
2024-05-02,4285.489,3,0
2024-05-03,4549.128,4,0
2024-05-04,6737.861,5,1
2024-05-05,8074.406,6,1
2024-05-06,5175.22,0,0
2024-05-07,5060.859,1,0
2024-05-08,6860.086,2,0
2024-05-09,10825.677,3,0
2024-05-10,11658.324,4,0
2024-05-11,13425.284,5,1
2024-05-12,11448.148,6,1
2024-05-13,4310.748,0,0
2024-05-14,3897.835,1,0
2024-05-15,4373.53,2,0
2024-05-16,4627.772,3,0
2024-05-17,5200.745,4,0
2024-05-18,7766.063,5,1
2024-05-19,8693.396,6,1
2024-05-20,4602.494,0,0
2024-05-21,4076.82,1,0
2024-05-22,3983.472,2,0
2024-05-23,5033.935,3,0
2024-05-24,5031.82,4,0
2024-05-25,8956.461,5,1
2024-05-26,9763.581,6,1
2024-05-27,4342.649,0,0
2024-05-28,3970.24,1,0
2024-05-29,4146.833,2,0
2024-05-30,4191.542,3,0
2024-05-31,4548.709,4,0
2024-06-01,7992.961,5,1
2024-06-02,9438.425,6,1
2024-06-03,4581.58,0,0
2024-06-04,3975.835,1,0
2024-06-05,4210.132,2,0
2024-06-06,4840.031,3,0
2024-06-07,5685.8859999999995,4,0
2024-06-08,8494.641,5,1
2024-06-09,9545.229,6,1
2024-06-10,4921.771,0,0
2024-06-11,4729.868,1,0
2024-06-12,4903.742,2,0
2024-06-13,5357.499,3,0
2024-06-14,5940.133,4,0
2024-06-15,8311.971,5,1
2024-06-16,9345.595,6,1
2024-06-17,5267.767,0,0
2024-06-18,5394.883,1,0
2024-06-19,5289.366,2,0
2024-06-20,5564.849,3,0
2024-06-21,6242.03,4,0
2024-06-22,12185.152,5,1
2024-06-23,13693.663,6,1
2024-06-24,6254.904,0,0
2024-06-25,6060.319,1,0
2024-06-26,6290.544,2,0
2024-06-27,6948.351,3,0
2024-06-28,7582.264,4,0
2024-06-29,10698.955,5,1
2024-06-30,13457.358,6,1
