Municipio,Salto,Método,MAPE
24089,0,Naive Estacional,0.43469715396302694
24089,1,Naive Estacional,0.46683905170928863
24089,2,Naive Estacional,0.5883202784294821
24089,3,Naive Estacional,0.8115461697194906
24089,4,Naive Estacional,0.4652535558306381
24089,5,Naive Estacional,0.3901342278450476
24089,6,Naive Estacional,0.3671034104813756
24089,7,Naive Estacional,0.2673585050930406
24089,8,Naive Estacional,0.2408102853302117
24089,9,Naive Estacional,0.23247682839354006
24089,10,Naive Estacional,0.2178189274356738
24089,11,Naive Estacional,0.15367274431055078
24089,12,Naive Estacional,0.12299644812599839
24089,13,Naive Estacional,0.08592073154546534
24089,0,SARIMAX,0.5688926603423581
24089,1,SARIMAX,0.5880537020301793
24089,2,SARIMAX,0.5272161641184472
24089,3,SARIMAX,0.6216138885389513
24089,4,SARIMAX,0.41452098188962283
24089,5,SARIMAX,0.6183396165107484
24089,6,SARIMAX,1.0484091683707428
24089,7,SARIMAX,0.4484880830076052
24089,8,SARIMAX,0.3948983027850796
24089,9,SARIMAX,0.40379339578537987
24089,10,SARIMAX,0.43586381871717367
24089,11,SARIMAX,0.2542550053789573
24089,12,SARIMAX,0.41217403879154213
24089,13,SARIMAX,0.9392502341219695
24089,0,Prophet,0.1810265196630396
24089,1,Prophet,0.18342375097660016
24089,2,Prophet,0.16687670751229028
24089,3,Prophet,0.2556639097040639
24089,4,Prophet,0.19247184518535734
24089,5,Prophet,0.4408985773666664
24089,6,Prophet,0.17993281483794066
24089,7,Prophet,0.18360425385410012
24089,8,Prophet,0.16535871380590184
24089,9,Prophet,0.17831589400210168
24089,10,Prophet,0.217615515985839
24089,11,Prophet,0.11288608584282911
24089,12,Prophet,0.38740811313038265
24089,13,Prophet,0.1653908466870304
